LaMarcus Aldridge,aldrila01,2014-15,Portland Trail Blazers,NBA,16006000.0
LaMarcus Aldridge,aldrila01,2015-16,San Antonio Spurs,NBA,19500000.0
LaMarcus Aldridge,aldrila01,2016-17,San Antonio Spurs,NBA,20575005.0
LaMarcus Aldridge,aldrila01,2017-18,San Antonio Spurs,NBA,21461010.0
LaMarcus Aldridge,aldrila01,2018-19,San Antonio Spurs,NBA,22347015.0
LaMarcus Aldridge,aldrila01,2019-20,San Antonio Spurs,NBA,26000000.0
LaMarcus Aldridge,aldrila01,2020-21,San Antonio Spurs,NBA,16750000.0
LaMarcus Aldridge,aldrila01,2020-21,Brooklyn Nets,NBA,554988.0
LaMarcus Aldridge,aldrila01,2021-22,Brooklyn Nets,NBA,2641691.0
Chuck Aleksinas,aleksch01
Cliff Alexander,alexacl01,2015-16,Portland Trail Blazers,NBA,525093.0
Cliff Alexander,alexacl01,2016-17,Brooklyn Nets,NBA,51449.0
Cory Alexander,alexaco01,1995-96,San Antonio Spurs,NBA,490000.0
Cory Alexander,alexaco01,1996-97,San Antonio Spurs,NBA,521000.0
Cory Alexander,alexaco01,1997-98,San Antonio Spurs,NBA,562380.0
Cory Alexander,alexaco01,1999-00,Denver Nuggets,NBA,1980000.0
Cory Alexander,alexaco01,2000-01,Denver Nuggets,NBA,2160000.0
Cory Alexander,alexaco01,2001-02,Denver Nuggets,NBA,1995741.0
Cory Alexander,alexaco01,2002-03,Denver Nuggets,NBA,2149259.0
Cory Alexander,alexaco01,2003-04,Denver Nuggets,NBA,2302778.0
Courtney Alexander,alexaco02,2000-01,Dallas Mavericks,NBA,1319400.0
Courtney Alexander,alexaco02,2001-02,Washington Wizards,NBA,1418400.0
Courtney Alexander,alexaco02,2002-03,New Orleans Hornets,NBA,1517280.0
Courtney Alexander,alexaco02,2003-04,New Orleans Hornets,NBA,2168193.0
Courtney Alexander,alexaco02,2004-05,Sacramento Kings,NBA,79029.0
Gary Alexander,alexaga01,1994-95,Cleveland Cavaliers,NBA,150000.0
Joe Alexander,alexajo01,2008-09,Milwaukee Bucks,NBA,2403120.0
Joe Alexander,alexajo01,2009-10,Chicago Bulls,NBA,2583360.0
Joe Alexander,alexajo01,2010-11,New Orleans Hornets,NBA,90465.0
Kyle Alexander,alexaky01
Trey Alexander,alexatr01
Ty-Shon Alexander,alexaty01
Victor Alexander,alexavi01,1991-92,Golden State Warriors,NBA,750000.0
Victor Alexander,alexavi01,1992-93,Golden State Warriors,NBA,942000.0
Victor Alexander,alexavi01,1993-94,Golden State Warriors,NBA,1160000.0
Victor Alexander,alexavi01,1994-95,Golden State Warriors,NBA,1377500.0
Victor Alexander,alexavi01,1995-96,Toronto Raptors,NBA,1595000.0
Victor Alexander,alexavi01,2001-02,Detroit Pistons,NBA,653350.0
Nickeil Alexander-Walker,alexani01,2019-20,New Orleans Pelicans,NBA,2964840.0
Nickeil Alexander-Walker,alexani01,2020-21,New Orleans Pelicans,NBA,3113160.0
Nickeil Alexander-Walker,alexani01,2021-22,Utah Jazz,NBA,3261480.0
Nickeil Alexander-Walker,alexani01,2022-23,Minnesota Timberwolves,NBA,5009633.0
Nickeil Alexander-Walker,alexani01,2023-24,Minnesota Timberwolves,NBA,4687500.0
Steve Alford,alforst01,1987-88,Dallas Mavericks,NBA,100000.0
Steve Alford,alforst01,1988-89,Golden State Warriors,NBA,150000.0
Steve Alford,alforst01,1990-91,Dallas Mavericks,NBA,250000.0
Rawle Alkins,alkinra01
Bill Allen,allenbi01
Bob Allen,allenbo01
Grayson Allen,allengr01,2018-19,Utah Jazz,NBA,2074320.0
Grayson Allen,allengr01,2019-20,Memphis Grizzlies,NBA,2277563.0
Grayson Allen,allengr01,2020-21,Memphis Grizzlies,NBA,2545320.0
Grayson Allen,allengr01,2021-22,Milwaukee Bucks,NBA,4054695.0
Grayson Allen,allengr01,2022-23,Milwaukee Bucks,NBA,8500000.0
Grayson Allen,allengr01,2023-24,Phoenix Suns,NBA,8925000.0
Jarrett Allen,allenja01,2017-18,Brooklyn Nets,NBA,1713720.0
Jarrett Allen,allenja01,2018-19,Brooklyn Nets,NBA,2034120.0
Jarrett Allen,allenja01,2019-20,Brooklyn Nets,NBA,2376840.0
Jarrett Allen,allenja01,2020-21,Cleveland Cavaliers,NBA,3909902.0
Jarrett Allen,allenja01,2021-22,Cleveland Cavaliers,NBA,20000000.0
Jarrett Allen,allenja01,2022-23,Cleveland Cavaliers,NBA,20000000.0
Jarrett Allen,allenja01,2023-24,Cleveland Cavaliers,NBA,20000000.0
Jerome Allen,allenje01,1995-96,Minnesota Timberwolves,NBA,200000.0
Jerome Allen,allenje01,1996-97,Indiana Pacers,NBA,247500.0
Jerome Allen,allenje01,1997-98,Cleveland Cavaliers,NBA,35000.0
Jerome Allen,allenje01,1999-00,Milwaukee Bucks,NBA,510000.0
Kadeem Allen,allenka01
Lavoy Allen,allenla01,2011-12,Philadelphia 76ers,NBA,473604.0
Lavoy Allen,allenla01,2012-13,Philadelphia 76ers,NBA,3000000.0
Lavoy Allen,allenla01,2013-14,Philadelphia 76ers,NBA,3060000.0
Lavoy Allen,allenla01,2014-15,Indiana Pacers,NBA,948163.0
Lavoy Allen,allenla01,2015-16,Indiana Pacers,NBA,3700000.0
Lavoy Allen,allenla01,2016-17,Indiana Pacers,NBA,4000000.0
Lucius Allen,allenlu01
Malik Allen,allenma01,2001-02,Miami Heat,NBA,332817.0
Malik Allen,allenma01,2002-03,Miami Heat,NBA,512435.0
Malik Allen,allenma01,2003-04,Miami Heat,NBA,1510000.0
Malik Allen,allenma01,2004-05,Miami Heat,NBA,1950625.0
Malik Allen,allenma01,2005-06,Chicago Bulls,NBA,1670000.0
Malik Allen,allenma01,2006-07,Chicago Bulls,NBA,1803600.0
Malik Allen,allenma01,2007-08,Dallas Mavericks,NBA,998398.0
Malik Allen,allenma01,2008-09,Milwaukee Bucks,NBA,1300000.0
Malik Allen,allenma01,2009-10,Denver Nuggets,NBA,1300000.0
Malik Allen,allenma01,2010-11,Orlando Magic,NBA,1229255.0
Randy Allen,allenra01
Ray Allen*,allenra02,1996-97,Milwaukee Bucks,NBA,1785000.0
Ray Allen*,allenra02,1997-98,Milwaukee Bucks,NBA,2052360.0
Ray Allen*,allenra02,1998-99,Milwaukee Bucks,NBA,2320000.0
Ray Allen*,allenra02,1999-00,Milwaukee Bucks,NBA,9000000.0
Ray Allen*,allenra02,2000-01,Milwaukee Bucks,NBA,10130000.0
Ray Allen*,allenra02,2001-02,Milwaukee Bucks,NBA,11250000.0
Ray Allen*,allenra02,2002-03,Milwaukee Bucks,NBA,12375000.0
Ray Allen*,allenra02,2003-04,Seattle SuperSonics,NBA,13500000.0
Ray Allen*,allenra02,2004-05,Seattle SuperSonics,NBA,14625000.0
Ray Allen*,allenra02,2005-06,Seattle SuperSonics,NBA,13223140.0
Ray Allen*,allenra02,2006-07,Seattle SuperSonics,NBA,14611570.0
Ray Allen*,allenra02,2007-08,Boston Celtics,NBA,16000000.0
Ray Allen*,allenra02,2008-09,Boston Celtics,NBA,18388430.0
Ray Allen*,allenra02,2009-10,Boston Celtics,NBA,18776860.0
Ray Allen*,allenra02,2010-11,Boston Celtics,NBA,10000000.0
Ray Allen*,allenra02,2011-12,Boston Celtics,NBA,10000000.0
Ray Allen*,allenra02,2012-13,Miami Heat,NBA,3090000.0
Ray Allen*,allenra02,2013-14,Miami Heat,NBA,3229050.0
Timmy Allen,allenti01,2023-24,Memphis Grizzlies,NBA,57908.0
Tony Allen,allento01,2004-05,Boston Celtics,NBA,901920.0
Tony Allen,allento01,2005-06,Boston Celtics,NBA,969696.0
Tony Allen,allento01,2006-07,Boston Celtics,NBA,1037280.0
Tony Allen,allento01,2007-08,Boston Celtics,NBA,1868141.0
Tony Allen,allento01,2008-09,Boston Celtics,NBA,2500000.0
Tony Allen,allento01,2009-10,Boston Celtics,NBA,2500000.0
Tony Allen,allento01,2010-11,Memphis Grizzlies,NBA,3000000.0
Tony Allen,allento01,2011-12,Memphis Grizzlies,NBA,3150000.0
Tony Allen,allento01,2012-13,Memphis Grizzlies,NBA,3300000.0
Tony Allen,allento01,2013-14,Memphis Grizzlies,NBA,4494382.0
Tony Allen,allento01,2014-15,Memphis Grizzlies,NBA,4831461.0
Tony Allen,allento01,2015-16,Memphis Grizzlies,NBA,5168539.0
Tony Allen,allento01,2016-17,Memphis Grizzlies,NBA,5505618.0
Tony Allen,allento01,2017-18,Chicago Bulls,NBA,1471382.0
Willie Allen,allenwi01
Odis Allison,allisod01
Lance Allred,allrela01
Darrell Allums,allumda01
Morris Almond,almonmo01,2007-08,Utah Jazz,NBA,1005960.0
Morris Almond,almonmo01,2008-09,Utah Jazz,NBA,1081440.0
Derrick Alston,alstode01,1994-95,Philadelphia 76ers,NBA,150000.0
Derrick Alston,alstode01,1995-96,Philadelphia 76ers,NBA,350000.0
Rafer Alston,alstora01,1999-00,Milwaukee Bucks,NBA,301875.0
Rafer Alston,alstora01,2000-01,Milwaukee Bucks,NBA,423500.0
Rafer Alston,alstora01,2001-02,Milwaukee Bucks,NBA,625000.0
Rafer Alston,alstora01,2002-03,Toronto Raptors,NBA,37344.0
Rafer Alston,alstora01,2003-04,Miami Heat,NBA,688679.0
Rafer Alston,alstora01,2004-05,Toronto Raptors,NBA,3500000.0
Rafer Alston,alstora01,2005-06,Houston Rockets,NBA,3850000.0
Rafer Alston,alstora01,2006-07,Houston Rockets,NBA,4200000.0
Rafer Alston,alstora01,2007-08,Houston Rockets,NBA,4550000.0
Rafer Alston,alstora01,2008-09,Orlando Magic,NBA,4900000.0
Rafer Alston,alstora01,2009-10,New Jersey Nets,NBA,4300000.0
Rafer Alston,alstora01,2009-10,Miami Heat,NBA,753133.0
Peter Aluma,alumape01
